FireName,AlarmDateLabel,ContainDate,GISAcres,IncidentType
Freeway Complex,11/15/2008,11/20/2008,"30,305.88",Wildland
,7/30/2009,,25.82,Wildland
Ortega 3,9/4/2009,9/4/2009,1/15/1900,Wildland
,9/25/2009,9/25/2009,12/30/1899,
241,11/24/2009,11/25/2009,4/5/1900,Wildland
241,11/24/2009,11/25/2009,1/1/1900,Wildland
,6/8/2010,6/8/2010,12/30/1899,Wildland
Irvine Park,7/4/2010,7/4/2010,3/4/1900,Wildland
,8/6/2010,8/6/2010,12/30/1899,Wildland
,8/23/2010,8/23/2010,12/31/1899,Wildland
Shady Canyon,8/28/2010,8/28/2010,1/10/1900,
Quarter Horse,9/4/2010,9/4/2010,1/5/1900,
Long,9/23/2010,9/23/2010,2/6/1900,Wildland
Carbon Canyon,7/7/2011,7/8/2011,5/22/1901,Wildland
,7/18/2011,7/18/2011,12/31/1899,Wildland
Rose,11/2/2011,11/2/2011,1/14/1900,Vegetation
Tustin Ranch,5/12/2012,5/12/2012,1/1/1900,Wildland
Santiago,9/27/2012,9/28/2012,2/11/1900,Wildland
Santiago,5/5/2013,5/5/2013,1/5/1900,Wildland
Baker,10/6/2013,10/8/2013,2/8/1900,Wildland
Holy,1/1/2014,1/1/2014,12/30/1899,Wildland
241,4/30/2014,5/1/2014,1/8/1900,Wildland
Irvine,3/7/2014,3/7/2014,12/31/1899,Wildland
Robles,5/12/2014,3/12/2014,12/30/1899,Wildland
Carbon,6/10/2014,6/10/2014,1/2/1900,Wildland
Silverado,9/15/2014,9/18/2014,8/15/1902,Wildland
Trabuco,10/8/2014,10/8/2014,1/22/1900,Wildland
Orchard Hills,10/25/2014,10/25/2014,12/31/1899,Wildland
241,6/24/2015,6/24/2015,12/30/1899,Wildland
241,7/13/2015,7/15/2015,7/31/1900,Wildland
Casino,9/17/2015,9/17/2015,1/14/1900,Vegetation
,11/13/2015,11/13/2015,12/30/1899,Vegetation
Williams,12/16/2015,12/17/2015,1/7/1900,Vegetation
Jalisco,7/4/2015,7/5/2015,12/30/1899,Vegetation
Talbert,3/9/2016,3/9/2016,12/30/1899,Vegetation
Irvine Regional Park,4/17/2016,4/17/2016,12/30/1899,Vegetation
Black Star,6/4/2016,6/4/2016,12/30/1899,Vegetation
Laguna,6/26/2016,6/29/2016,2/14/1900,Vegetation
Talbert Park,7/15/2016,7/15/2016,12/30/1899,Vegetation
YBL Train,7/16/2016,7/16/2016,12/30/1899,Vegetation
Carbon Canyon,7/4/2016,7/4/2016,12/30/1899,Vegetation
Holy Jim,8/31/2016,9/2/2016,5/25/1900,Wildland
Canyon,9/12/2016,9/12/2016,1/18/1900,Wildland
,7/23/2016,7/23/2016,12/30/1899,Wildland
,7/31/2016,7/31/2016,12/30/1899,Vegetation
,8/6/2016,8/6/2016,12/30/1899,Vegetation
Portola,10/21/2016,10/21/2016,1/2/1900,Vegetation
Moulton,1/30/2017,1/30/2017,12/30/1899,Vegetation
Irvine Park,5/20/2017,5/20/2017,12/30/1899,Vegetation
Antonio,6/24/2017,6/24/2017,1/1/1900,Vegetation
Tesoro School,7/31/2017,8/1/2017,12/30/1899,Vegetation
Magazine,7/31/2017,7/31/2017,1/4/1900,Vegetation
Rose,7/4/2017,7/4/2017,12/30/1899,Vegetation
,7/5/2017,7/5/2017,12/30/1899,Vegetation
Georgia Sue,7/5/2017,7/5/2017,12/30/1899,Vegetation
,8/31/2017,8/31/2017,12/30/1899,Vegetation
,9/2/2017,9/2/2017,1/4/1900,Vegetation
Cross Creek,9/15/2017,9/15/2017,12/30/1899,Vegetation
,9/13/2017,9/13/2017,12/30/1899,Vegetation
Jeffrey,8/19/2017,8/19/2017,1/10/1900,Vegetation
Canyon I,9/25/2017,10/1/2017,"2,661.40",Vegetation
Canyon II,10/9/2017,10/17/2017,"9,215.23",Vegetation
Lambert,10/18/2017,10/18/2017,1/27/1900,Vegetation
Creek,11/6/2017,11/6/2017,12/30/1899,Vegetation
,11/10/2017,11/10/2017,12/30/1899,Vegetation
Carbon Canyon Park,10/25/2017,10/25/2017,1/3/1900,Vegetation
Tomato Springs,12/22/2017,12/22/2017,12/30/1899,Vegetation
,12/22/2017,12/22/2017,12/30/1899,Vegetation
Wood,12/20/2017,12/20/2017,12/30/1899,Vegetation
Ridge Route,1/23/2018,1/23/2018,12/30/1899,Vegetation
Canada IC,2/20/2018,2/20/2018,12/30/1899,Vegetation
El Toro Ic,1/24/2018,1/24/2018,12/30/1899,Vegetation
Southhampton Ct,3/27/2018,3/27/2018,12/30/1899,Vegetation
Lambert,5/25/2018,5/25/2018,12/30/1899,Vegetation
Santiago,6/11/2018,6/14/2018,6/2/1900,Vegetation
Talbert Park South,4/15/2018,4/15/2018,1/6/1900,Vegetation
Santiago Canyon,7/11/2018,7/11/2018,12/30/1899,Vegetation
Alicia,7/9/2018,7/9/2018,12/30/1899,Ornamental Vegetation
Holy,8/6/2018,8/26/2018,"22,885.99",Wildland
Jamboree,8/5/2018,8/5/2018,12/30/1899,Vegetation
B2 - Yorba,9/15/2018,9/15/2018,12/30/1899,Vegetation
Costco,9/29/2018,9/29/2018,12/30/1899,Vegetation